year,month,state,disease_name,total_cases
2018,1,Jharkhand,Hypertension,1
2018,1,Jharkhand,Kala-Azar,1
2018,1,Jharkhand,Stroke,1
2018,1,Karnataka,Anxiety Disorder,1
2018,1,Karnataka,COPD,1
2018,1,Karnataka,Chikungunya,1
2018,1,Karnataka,Chronic Kidney Disease,1
2018,1,Karnataka,Filariasis,1
2018,1,Karnataka,HIV/AIDS,1
2018,1,Karnataka,Heart Disease,1
2018,1,Karnataka,Hepatitis B,1
2018,1,Karnataka,Kala-Azar,1
2018,1,Karnataka,Stroke,1
2018,1,Karnataka,Swine Flu (H1N1),1
2018,1,Karnataka,Tuberculosis,2
2018,1,Kerala,COVID-19,1
2018,1,Kerala,Chronic Kidney Disease,1
2018,1,Kerala,Gastroenteritis,1
2018,1,Kerala,Oral Cancer,1
2018,1,Kerala,Stroke,1
2018,1,Madhya Pradesh,Asthma,2
2018,1,Madhya Pradesh,Breast Cancer,2
2018,1,Madhya Pradesh,COPD,1
2018,1,Madhya Pradesh,COVID-19,2
2018,1,Madhya Pradesh,HIV/AIDS,1
2018,1,Madhya Pradesh,Jaundice (Hepatitis A),1
2018,1,Madhya Pradesh,Lung Cancer,1
2018,1,Madhya Pradesh,Pneumonia,1
2018,1,Madhya Pradesh,Thalassemia,1
2018,1,Madhya Pradesh,Tuberculosis,1
2018,1,Maharashtra,Asthma,4
2018,1,Maharashtra,COPD,1
2018,1,Maharashtra,COVID-19,3
2018,1,Maharashtra,Chronic Kidney Disease,2
2018,1,Maharashtra,Diarrhea,1
2018,1,Maharashtra,Gastroenteritis,1
2018,1,Maharashtra,Heart Disease,1
2018,1,Maharashtra,Hepatitis B,1
2018,1,Maharashtra,Japanese Encephalitis,1
2018,1,Maharashtra,Oral Cancer,1
2018,1,Maharashtra,Pneumonia,2
2018,1,Maharashtra,Stroke,1
2018,1,Maharashtra,Swine Flu (H1N1),1
2018,1,Maharashtra,Thalassemia,1
2018,1,Manipur,COPD,1
2018,1,Meghalaya,Diabetes (Type 2),1
2018,1,Meghalaya,Tuberculosis,1
2018,1,Mizoram,Filariasis,1
2018,1,Mizoram,Tuberculosis,1
2018,1,NCT of Delhi,Asthma,1
2018,1,NCT of Delhi,COVID-19,1
2018,1,NCT of Delhi,Swine Flu (H1N1),1
2018,1,Nagaland,COVID-19,1
2018,1,Nagaland,Filariasis,1
2018,1,Odisha,Anxiety Disorder,1
2018,1,Odisha,COPD,1
2018,1,Odisha,COVID-19,2
2018,1,Odisha,Cholera,1
2018,1,Odisha,Depression,1
2018,1,Puducherry,Lung Cancer,1
2018,1,Punjab,Kala-Azar,1
2018,1,Punjab,Swine Flu (H1N1),1
2018,1,Punjab,Typhoid,1
2018,1,Rajasthan,Asthma,1
2018,1,Rajasthan,Breast Cancer,1
2018,1,Rajasthan,COPD,1
2018,1,Rajasthan,COVID-19,2
2018,1,Rajasthan,Chronic Kidney Disease,1
2018,1,Rajasthan,Gastroenteritis,1
2018,1,Rajasthan,Heart Disease,1
2018,1,Rajasthan,Japanese Encephalitis,1
2018,1,Rajasthan,Leptospirosis,1
2018,1,Rajasthan,Pneumonia,3
2018,1,Tamil Nadu,Asthma,1
2018,1,Tamil Nadu,COPD,3
2018,1,Tamil Nadu,Diabetes (Type 2),2
2018,1,Tamil Nadu,Gastroenteritis,1
2018,1,Tamil Nadu,Heart Disease,2
2018,1,Tamil Nadu,Hepatitis B,1
2018,1,Tamil Nadu,Hypertension,2
2018,1,Tamil Nadu,Kala-Azar,3
2018,1,Tamil Nadu,Malaria,1
2018,1,Tamil Nadu,Oral Cancer,1
2018,1,Tamil Nadu,Swine Flu (H1N1),2
2018,1,Telangana,Heart Disease,1
2018,1,Telangana,Japanese Encephalitis,1
2018,1,Telangana,Kala-Azar,1
2018,1,Tripura,Thalassemia,1
2018,1,Uttar Pradesh,Anxiety Disorder,1
2018,1,Uttar Pradesh,Asthma,1
2018,1,Uttar Pradesh,Breast Cancer,1
2018,1,Uttar Pradesh,COPD,2
2018,1,Uttar Pradesh,COVID-19,3
2018,1,Uttar Pradesh,Depression,1
2018,1,Uttar Pradesh,Diabetes (Type 2),2
2018,1,Uttar Pradesh,Diarrhea,1
2018,1,Uttar Pradesh,Gastroenteritis,1
2018,1,Uttar Pradesh,HIV/AIDS,2
2018,1,Uttar Pradesh,Heart Disease,3
2018,1,Uttar Pradesh,Hepatitis B,2
2018,1,Uttar Pradesh,Japanese Encephalitis,1
2018,1,Uttar Pradesh,Kala-Azar,1
2018,1,Uttar Pradesh,Lung Cancer,1
2018,1,Uttar Pradesh,Oral Cancer,1
2018,1,Uttar Pradesh,Pneumonia,3
2018,1,Uttar Pradesh,Sickle Cell Anemia,2
2018,1,Uttar Pradesh,Stroke,3
2018,1,Uttar Pradesh,Swine Flu (H1N1),3
2018,1,Uttar Pradesh,Typhoid,1
2018,1,Uttarakhand,Filariasis,1
2018,1,Uttarakhand,Pneumonia,1
2018,1,West Bengal,Breast Cancer,1
2018,1,West Bengal,COPD,3
2018,1,West Bengal,COVID-19,2
2018,1,West Bengal,Chronic Kidney Disease,2
2018,1,West Bengal,Depression,1
2018,1,West Bengal,Diabetes (Type 2),1
2018,1,West Bengal,Diarrhea,1
2018,1,West Bengal,Hypertension,2
2018,1,West Bengal,Oral Cancer,2
2018,1,West Bengal,Pneumonia,1
2018,1,West Bengal,Thalassemia,2
2018,1,West Bengal,Typhoid,1
2018,2,Andhra Pradesh,COVID-19,1
2018,2,Andhra Pradesh,Diabetes (Type 2),1
2018,2,Andhra Pradesh,Diarrhea,1
2018,2,Andhra Pradesh,Filariasis,1
2018,2,Andhra Pradesh,Heart Disease,1
2018,2,Andhra Pradesh,Hypertension,1
2018,2,Andhra Pradesh,Kala-Azar,1
2018,2,Andhra Pradesh,Pneumonia,1
2018,2,Andhra Pradesh,Sickle Cell Anemia,1
2018,2,Andhra Pradesh,Stroke,1
2018,2,Assam,COPD,2
2018,2,Assam,Hypertension,2
2018,2,Assam,Lung Cancer,1
2018,2,Assam,Sickle Cell Anemia,2
2018,2,Bihar,Anxiety Disorder,2
2018,2,Bihar,Asthma,3
2018,2,Bihar,COPD,2
2018,2,Bihar,COVID-19,1
2018,2,Bihar,Chronic Kidney Disease,1
2018,2,Bihar,Diabetes (Type 2),1
2018,2,Bihar,Jaundice (Hepatitis A),1
2018,2,Bihar,Kala-Azar,1
2018,2,Bihar,Leptospirosis,1
2018,2,Bihar,Lung Cancer,1
2018,2,Bihar,Pneumonia,1
2018,2,Bihar,Sickle Cell Anemia,1
2018,2,Chhattisgarh,Asthma,1
2018,2,Chhattisgarh,Breast Cancer,1
2018,2,Chhattisgarh,Cholera,1
2018,2,Chhattisgarh,Filariasis,1
2018,2,Chhattisgarh,Hypertension,1
2018,2,Chhattisgarh,Pneumonia,1
2018,2,Chhattisgarh,Tuberculosis,1
2018,2,Gujarat,Breast Cancer,1
2018,2,Gujarat,Chronic Kidney Disease,1
2018,2,Gujarat,Japanese Encephalitis,2
2018,2,Gujarat,Kala-Azar,1
2018,2,Gujarat,Swine Flu (H1N1),2
2018,2,Haryana,Diarrhea,1
2018,2,Haryana,Hepatitis B,1
2018,2,Haryana,Stroke,1
2018,2,Haryana,Swine Flu (H1N1),1
2018,2,Haryana,Tuberculosis,1
2018,2,Himachal Pradesh,Stroke,1
2018,2,Jharkhand,Anxiety Disorder,1
2018,2,Jharkhand,COPD,1
2018,2,Jharkhand,COVID-19,1
2018,2,Jharkhand,Diabetes (Type 2),1
2018,2,Jharkhand,Pneumonia,2
2018,2,Jharkhand,Stroke,1
2018,2,Jharkhand,Thalassemia,1
2018,2,Karnataka,Asthma,1
2018,2,Karnataka,Breast Cancer,1
2018,2,Karnataka,COPD,1
2018,2,Karnataka,COVID-19,1
2018,2,Karnataka,Diabetes (Type 2),1
2018,2,Karnataka,Oral Cancer,1
2018,2,Karnataka,Pneumonia,1
2018,2,Karnataka,Swine Flu (H1N1),2
2018,2,Karnataka,Thalassemia,1
2018,2,Kerala,COVID-19,1
2018,2,Kerala,Lung Cancer,1
2018,2,Kerala,Stroke,1
2018,2,Madhya Pradesh,COPD,2
2018,2,Madhya Pradesh,Depression,3
2018,2,Madhya Pradesh,Filariasis,1
2018,2,Madhya Pradesh,Gastroenteritis,1
2018,2,Madhya Pradesh,Hepatitis B,1
2018,2,Madhya Pradesh,Hypertension,1
2018,2,Madhya Pradesh,Oral Cancer,1
2018,2,Madhya Pradesh,Tuberculosis,2
2018,2,Maharashtra,Asthma,2
2018,2,Maharashtra,COPD,1
2018,2,Maharashtra,Chikungunya,1
2018,2,Maharashtra,Depression,3
2018,2,Maharashtra,Diabetes (Type 2),2
2018,2,Maharashtra,Gastroenteritis,1
2018,2,Maharashtra,HIV/AIDS,2
2018,2,Maharashtra,Japanese Encephalitis,1
2018,2,Maharashtra,Leptospirosis,1
2018,2,Maharashtra,Lung Cancer,2
2018,2,Maharashtra,Malaria,1
2018,2,Maharashtra,Oral Cancer,1
2018,2,Maharashtra,Pneumonia,5
2018,2,Maharashtra,Stroke,1
2018,2,Maharashtra,Thalassemia,2
2018,2,Manipur,Hypertension,1
2018,2,Manipur,Thalassemia,1
2018,2,Meghalaya,Hepatitis B,2
2018,2,NCT of Delhi,Breast Cancer,1
2018,2,NCT of Delhi,Lung Cancer,1
2018,2,NCT of Delhi,Pneumonia,1
2018,2,NCT of Delhi,Typhoid,1
2018,2,Nagaland,Kala-Azar,1
2018,2,Odisha,Asthma,3
2018,2,Odisha,COPD,1
2018,2,Odisha,Chronic Kidney Disease,1
2018,2,Odisha,Diabetes (Type 2),1
2018,2,Odisha,Hepatitis B,1
2018,2,Odisha,Hypertension,1
2018,2,Odisha,Kala-Azar,1
2018,2,Odisha,Swine Flu (H1N1),1
2018,2,Odisha,Thalassemia,1
2018,2,Odisha,Typhoid,1
2018,2,Punjab,COPD,1
2018,2,Punjab,Dengue,1
2018,2,Punjab,Swine Flu (H1N1),1
2018,2,Rajasthan,Anxiety Disorder,1
2018,2,Rajasthan,Asthma,3
2018,2,Rajasthan,Breast Cancer,1
2018,2,Rajasthan,COVID-19,1
2018,2,Rajasthan,Chronic Kidney Disease,1
2018,2,Rajasthan,Depression,1
2018,2,Rajasthan,Oral Cancer,1
2018,2,Rajasthan,Pneumonia,2
2018,2,Rajasthan,Thalassemia,1
2018,2,Rajasthan,Typhoid,1
2018,2,Tamil Nadu,Anxiety Disorder,1
2018,2,Tamil Nadu,Asthma,1
2018,2,Tamil Nadu,Breast Cancer,1
2018,2,Tamil Nadu,COPD,1
2018,2,Tamil Nadu,COVID-19,1
2018,2,Tamil Nadu,Depression,1
2018,2,Tamil Nadu,Gastroenteritis,1
2018,2,Tamil Nadu,Hepatitis B,1
2018,2,Tamil Nadu,Lung Cancer,1
2018,2,Tamil Nadu,Malaria,1
2018,2,Tamil Nadu,Oral Cancer,1
2018,2,Tamil Nadu,Swine Flu (H1N1),1
2018,2,Tamil Nadu,Tuberculosis,1
2018,2,Telangana,Asthma,1
2018,2,Telangana,Breast Cancer,1
2018,2,Telangana,COPD,2
2018,2,Telangana,Depression,1
2018,2,Telangana,Sickle Cell Anemia,1
2018,2,Telangana,Swine Flu (H1N1),1
2018,2,Telangana,Typhoid,1
2018,2,Uttar Pradesh,Anxiety Disorder,2
2018,2,Uttar Pradesh,Asthma,2
2018,2,Uttar Pradesh,COPD,1
2018,2,Uttar Pradesh,COVID-19,1
2018,2,Uttar Pradesh,Depression,1
2018,2,Uttar Pradesh,Diabetes (Type 2),1
2018,2,Uttar Pradesh,Filariasis,2
2018,2,Uttar Pradesh,HIV/AIDS,1
2018,2,Uttar Pradesh,Heart Disease,1
2018,2,Uttar Pradesh,Hepatitis B,2
2018,2,Uttar Pradesh,Japanese Encephalitis,2
2018,2,Uttar Pradesh,Kala-Azar,2
2018,2,Uttar Pradesh,Lung Cancer,2
2018,2,Uttar Pradesh,Oral Cancer,1
2018,2,Uttar Pradesh,Pneumonia,1
2018,2,Uttar Pradesh,Sickle Cell Anemia,2
2018,2,Uttar Pradesh,Stroke,2
2018,2,Uttar Pradesh,Swine Flu (H1N1),2
2018,2,West Bengal,Asthma,3
2018,2,West Bengal,Breast Cancer,1
2018,2,West Bengal,COPD,1
2018,2,West Bengal,COVID-19,3
2018,2,West Bengal,Cholera,1
2018,2,West Bengal,Chronic Kidney Disease,1
2018,2,West Bengal,Diabetes (Type 2),1
2018,2,West Bengal,Filariasis,1
2018,2,West Bengal,Heart Disease,2
2018,2,West Bengal,Malaria,1
2018,2,West Bengal,Oral Cancer,2
2018,2,West Bengal,Sickle Cell Anemia,1
2018,2,West Bengal,Swine Flu (H1N1),1
2018,2,West Bengal,Tuberculosis,1
2018,3,Andhra Pradesh,Dengue,1
2018,3,Andhra Pradesh,HIV/AIDS,1
2018,3,Andhra Pradesh,Hepatitis B,1
2018,3,Andhra Pradesh,Kala-Azar,1
2018,3,Andhra Pradesh,Oral Cancer,1
2018,3,Andhra Pradesh,Stroke,1
2018,3,Andhra Pradesh,Thalassemia,1
2018,3,Assam,Breast Cancer,1
2018,3,Assam,Cholera,1
2018,3,Assam,Pneumonia,1
2018,3,Assam,Typhoid,1
2018,3,Bihar,COPD,1
2018,3,Bihar,Chronic Kidney Disease,1
2018,3,Bihar,Depression,1
2018,3,Bihar,HIV/AIDS,1
2018,3,Bihar,Hypertension,1
2018,3,Bihar,Kala-Azar,1
2018,3,Bihar,Oral Cancer,1
2018,3,Bihar,Pneumonia,1
2018,3,Bihar,Sickle Cell Anemia,1
2018,3,Bihar,Stroke,1
2018,3,Bihar,Thalassemia,3
2018,3,Chandigarh,Japanese Encephalitis,1
2018,3,Chhattisgarh,Hypertension,1
2018,3,Chhattisgarh,Oral Cancer,1
2018,3,Goa,Chronic Kidney Disease,1
2018,3,Goa,Japanese Encephalitis,1
2018,3,Gujarat,COPD,1
2018,3,Gujarat,Filariasis,2
2018,3,Gujarat,HIV/AIDS,1
2018,3,Gujarat,Heart Disease,1
2018,3,Gujarat,Hepatitis B,1
2018,3,Gujarat,Hypertension,1
2018,3,Gujarat,Jaundice (Hepatitis A),1
2018,3,Gujarat,Lung Cancer,1
2018,3,Haryana,Gastroenteritis,1
2018,3,Haryana,Heart Disease,1
2018,3,Himachal Pradesh,Filariasis,1
2018,3,Himachal Pradesh,Hypertension,1
2018,3,Jammu and Kashmir,Oral Cancer,1
2018,3,Jammu and Kashmir,Swine Flu (H1N1),1
2018,3,Jharkhand,Anxiety Disorder,1
2018,3,Jharkhand,COVID-19,1
2018,3,Jharkhand,Diabetes (Type 2),1
2018,3,Jharkhand,Filariasis,1
2018,3,Karnataka,Anxiety Disorder,1
2018,3,Karnataka,Breast Cancer,1
2018,3,Karnataka,COPD,1
2018,3,Karnataka,Chronic Kidney Disease,1
2018,3,Karnataka,Hepatitis B,1
2018,3,Karnataka,Japanese Encephalitis,1
2018,3,Karnataka,Kala-Azar,1
2018,3,Karnataka,Lung Cancer,1
2018,3,Karnataka,Oral Cancer,1
2018,3,Karnataka,Stroke,1
2018,3,Karnataka,Thalassemia,1
2018,3,Karnataka,Tuberculosis,1
2018,3,Karnataka,Typhoid,1
2018,3,Kerala,Breast Cancer,1
2018,3,Kerala,Chikungunya,1
2018,3,Kerala,Cholera,1
2018,3,Kerala,Oral Cancer,1
2018,3,Madhya Pradesh,Breast Cancer,1
2018,3,Madhya Pradesh,COVID-19,1
2018,3,Madhya Pradesh,Diarrhea,1
2018,3,Madhya Pradesh,Lung Cancer,2
2018,3,Madhya Pradesh,Oral Cancer,1
2018,3,Maharashtra,Diarrhea,1
2018,3,Maharashtra,Gastroenteritis,2
2018,3,Maharashtra,Hepatitis B,1
2018,3,Maharashtra,Hypertension,2
2018,3,Maharashtra,Japanese Encephalitis,1
2018,3,Maharashtra,Kala-Azar,1
2018,3,Maharashtra,Malaria,1
2018,3,Maharashtra,Oral Cancer,1
2018,3,Maharashtra,Sickle Cell Anemia,1
2018,3,Maharashtra,Thalassemia,1
2018,3,Maharashtra,Tuberculosis,1
2018,3,Manipur,Oral Cancer,1
2018,3,Meghalaya,Typhoid,1
2018,3,Mizoram,Depression,1
2018,3,NCT of Delhi,Asthma,1
2018,3,NCT of Delhi,Depression,1
2018,3,NCT of Delhi,Diarrhea,1
2018,3,Odisha,Breast Cancer,1
2018,3,Odisha,Hepatitis B,1
2018,3,Odisha,Hypertension,1
2018,3,Odisha,Jaundice (Hepatitis A),1
2018,3,Odisha,Stroke,1
2018,3,Punjab,Hypertension,1
2018,3,Rajasthan,Anxiety Disorder,1
2018,3,Rajasthan,Diabetes (Type 2),1
2018,3,Rajasthan,Gastroenteritis,1
2018,3,Rajasthan,Pneumonia,1
2018,3,Rajasthan,Stroke,2
2018,3,Tamil Nadu,Oral Cancer,3
2018,3,Tamil Nadu,Stroke,2
2018,3,Tamil Nadu,Typhoid,2
2018,3,Telangana,Oral Cancer,1
2018,3,Telangana,Tuberculosis,1
2018,3,Uttar Pradesh,Chikungunya,2
2018,3,Uttar Pradesh,Chronic Kidney Disease,3
2018,3,Uttar Pradesh,Dengue,2
2018,3,Uttar Pradesh,Depression,1
2018,3,Uttar Pradesh,Diabetes (Type 2),1
2018,3,Uttar Pradesh,Diarrhea,1
2018,3,Uttar Pradesh,Filariasis,2
2018,3,Uttar Pradesh,HIV/AIDS,1
2018,3,Uttar Pradesh,Heart Disease,1
2018,3,Uttar Pradesh,Hepatitis B,1
2018,3,Uttar Pradesh,Japanese Encephalitis,1
2018,3,Uttar Pradesh,Leptospirosis,2
2018,3,Uttar Pradesh,Lung Cancer,1
2018,3,Uttar Pradesh,Sickle Cell Anemia,2
2018,3,Uttar Pradesh,Stroke,2
2018,3,Uttar Pradesh,Swine Flu (H1N1),2
2018,3,Uttar Pradesh,Thalassemia,1
2018,3,Uttar Pradesh,Tuberculosis,3
2018,3,Uttar Pradesh,Typhoid,5
2018,3,Uttarakhand,Lung Cancer,1
2018,3,West Bengal,Depression,1
2018,3,West Bengal,Diarrhea,1
2018,3,West Bengal,HIV/AIDS,2
2018,3,West Bengal,Hepatitis B,2
2018,3,West Bengal,Lung Cancer,1
2018,3,West Bengal,Pneumonia,1
2018,3,West Bengal,Typhoid,1
2018,4,Andhra Pradesh,Anxiety Disorder,1
2018,4,Andhra Pradesh,COPD,1
2018,4,Andhra Pradesh,Cholera,1
2018,4,Andhra Pradesh,Gastroenteritis,1
2018,4,Andhra Pradesh,Hepatitis B,1
2018,4,Andhra Pradesh,Japanese Encephalitis,1
2018,4,Andhra Pradesh,Jaundice (Hepatitis A),2
2018,4,Andhra Pradesh,Oral Cancer,1
2018,4,Andhra Pradesh,Sickle Cell Anemia,2
2018,4,Assam,Diabetes (Type 2),2
2018,4,Assam,Stroke,2
2018,4,Bihar,Anxiety Disorder,1
2018,4,Bihar,Asthma,1
2018,4,Bihar,Chikungunya,1
2018,4,Bihar,Cholera,1
2018,4,Bihar,Depression,1
2018,4,Bihar,Diarrhea,1
2018,4,Bihar,Filariasis,1
2018,4,Bihar,Hypertension,2
2018,4,Bihar,Japanese Encephalitis,1
2018,4,Bihar,Kala-Azar,1
2018,4,Bihar,Leptospirosis,1
2018,4,Bihar,Pneumonia,1
2018,4,Bihar,Stroke,1
2018,4,Bihar,Swine Flu (H1N1),2
2018,4,Bihar,Thalassemia,1
2018,4,Chhattisgarh,Anxiety Disorder,1
2018,4,Chhattisgarh,Breast Cancer,1
2018,4,Chhattisgarh,Cholera,1
2018,4,Chhattisgarh,Gastroenteritis,1
2018,4,Chhattisgarh,Sickle Cell Anemia,1
2018,4,Chhattisgarh,Tuberculosis,1
2018,4,Goa,Thalassemia,1
2018,4,Goa,Tuberculosis,1
2018,4,Gujarat,Anxiety Disorder,1
2018,4,Gujarat,COPD,1
2018,4,Gujarat,Chikungunya,2
2018,4,Gujarat,Filariasis,2
2018,4,Gujarat,Gastroenteritis,3
2018,4,Gujarat,Heart Disease,1
2018,4,Gujarat,Hypertension,1
2018,4,Gujarat,Japanese Encephalitis,1
2018,4,Gujarat,Jaundice (Hepatitis A),1
2018,4,Gujarat,Leptospirosis,1
2018,4,Gujarat,Oral Cancer,1
2018,4,Gujarat,Sickle Cell Anemia,1
2018,4,Gujarat,Thalassemia,1
2018,4,Gujarat,Typhoid,1
2018,4,Haryana,COPD,1
2018,4,Haryana,Depression,1
2018,4,Haryana,Diarrhea,1
2018,4,Haryana,Gastroenteritis,2
2018,4,Haryana,Hepatitis B,1
2018,4,Haryana,Stroke,1
2018,4,Himachal Pradesh,Filariasis,1
2018,4,Jharkhand,Breast Cancer,1
2018,4,Jharkhand,COVID-19,1
2018,4,Jharkhand,Gastroenteritis,1
2018,4,Jharkhand,Jaundice (Hepatitis A),1
2018,4,Jharkhand,Tuberculosis,1
2018,4,Karnataka,Chronic Kidney Disease,1
2018,4,Karnataka,Depression,1
2018,4,Karnataka,Diabetes (Type 2),1
2018,4,Karnataka,Hypertension,2
2018,4,Kerala,Asthma,1
2018,4,Kerala,Heart Disease,1
2018,4,Madhya Pradesh,Chronic Kidney Disease,1
2018,4,Madhya Pradesh,Depression,2
2018,4,Madhya Pradesh,Hepatitis B,1
2018,4,Madhya Pradesh,Hypertension,2
2018,4,Madhya Pradesh,Jaundice (Hepatitis A),1
2018,4,Madhya Pradesh,Oral Cancer,1
2018,4,Madhya Pradesh,Swine Flu (H1N1),1
2018,4,Madhya Pradesh,Tuberculosis,2
2018,4,Madhya Pradesh,Typhoid,2
2018,4,Maharashtra,Filariasis,1
2018,4,Maharashtra,Heart Disease,1
2018,4,Maharashtra,Hepatitis B,3
2018,4,Maharashtra,Hypertension,1
2018,4,Maharashtra,Japanese Encephalitis,1
2018,4,Maharashtra,Jaundice (Hepatitis A),1
2018,4,Maharashtra,Kala-Azar,1
2018,4,Maharashtra,Stroke,1
2018,4,Maharashtra,Thalassemia,1
2018,4,Manipur,Filariasis,1
2018,4,Meghalaya,Diabetes (Type 2),1
2018,4,Meghalaya,Filariasis,1
2018,4,Meghalaya,Jaundice (Hepatitis A),1
2018,4,Meghalaya,Kala-Azar,1
2018,4,NCT of Delhi,COPD,1
2018,4,NCT of Delhi,Swine Flu (H1N1),1
2018,4,Nagaland,Filariasis,1
2018,4,Odisha,Heart Disease,1
2018,4,Odisha,Jaundice (Hepatitis A),2
2018,4,Odisha,Lung Cancer,1
2018,4,Punjab,Chronic Kidney Disease,2
2018,4,Punjab,Filariasis,1
2018,4,Rajasthan,Anxiety Disorder,1
2018,4,Rajasthan,COVID-19,1
2018,4,Rajasthan,Cholera,1
2018,4,Rajasthan,Depression,1
2018,4,Rajasthan,Diarrhea,1
2018,4,Rajasthan,Heart Disease,1
2018,4,Rajasthan,Hepatitis B,2
2018,4,Rajasthan,Japanese Encephalitis,1
2018,4,Rajasthan,Lung Cancer,1
2018,4,Rajasthan,Oral Cancer,1
2018,4,Rajasthan,Stroke,1
2018,4,Rajasthan,Typhoid,1
2018,4,Tamil Nadu,Breast Cancer,1
2018,4,Tamil Nadu,Diarrhea,1
2018,4,Tamil Nadu,Filariasis,1
2018,4,Tamil Nadu,Gastroenteritis,1
2018,4,Tamil Nadu,Sickle Cell Anemia,1
2018,4,Tamil Nadu,Thalassemia,1
2018,4,Tamil Nadu,Tuberculosis,1
2018,4,Telangana,Anxiety Disorder,3
2018,4,Telangana,Diabetes (Type 2),1
2018,4,Telangana,Gastroenteritis,1
2018,4,Telangana,Heart Disease,1
2018,4,Telangana,Kala-Azar,1
2018,4,Telangana,Sickle Cell Anemia,1
2018,4,Telangana,Thalassemia,1
2018,4,Tripura,Hepatitis B,1
2018,4,Uttar Pradesh,Anxiety Disorder,1
2018,4,Uttar Pradesh,Breast Cancer,1
2018,4,Uttar Pradesh,COVID-19,1
2018,4,Uttar Pradesh,Cholera,1
2018,4,Uttar Pradesh,Chronic Kidney Disease,1
2018,4,Uttar Pradesh,Diabetes (Type 2),1
2018,4,Uttar Pradesh,Diarrhea,1
2018,4,Uttar Pradesh,Gastroenteritis,2
2018,4,Uttar Pradesh,HIV/AIDS,1
2018,4,Uttar Pradesh,Heart Disease,2
2018,4,Uttar Pradesh,Hepatitis B,1
2018,4,Uttar Pradesh,Japanese Encephalitis,3
2018,4,Uttar Pradesh,Jaundice (Hepatitis A),2
2018,4,Uttar Pradesh,Kala-Azar,1
2018,4,Uttar Pradesh,Leptospirosis,1
2018,4,Uttar Pradesh,Lung Cancer,1
2018,4,Uttar Pradesh,Malaria,1
2018,4,Uttar Pradesh,Pneumonia,1
2018,4,Uttar Pradesh,Stroke,2
2018,4,Uttar Pradesh,Typhoid,1
2018,4,West Bengal,Breast Cancer,1
2018,4,West Bengal,COPD,1
2018,4,West Bengal,Chikungunya,2
2018,4,West Bengal,Depression,2
2018,4,West Bengal,Diabetes (Type 2),1
2018,4,West Bengal,Hepatitis B,1
2018,4,West Bengal,Sickle Cell Anemia,1
2018,4,West Bengal,Stroke,1
2018,4,West Bengal,Thalassemia,1
2018,5,Andhra Pradesh,Asthma,1
2018,5,Andhra Pradesh,Diabetes (Type 2),1
2018,5,Andhra Pradesh,Kala-Azar,1
2018,5,Andhra Pradesh,Oral Cancer,1
2018,5,Andhra Pradesh,Sickle Cell Anemia,1
2018,5,Andhra Pradesh,Tuberculosis,1
2018,5,Arunachal Pradesh,Typhoid,1
2018,5,Assam,COPD,1
2018,5,Assam,Heart Disease,1
